Time (sec),Proposed,DA,COA,PSO,GA
1320,194934,192934,191934,189868,187868
1340,194933,192933,191933,189866,187866
1360,194932,192932,191932,189864,187864
1380,194931,192931,191931,189862,187862
1400,194930,192930,191930,189860,187860
1420,194929,192929,191929,189858,187858
1440,194928,192928,191928,189856,187856
1460,194927,192927,191927,189854,187854
1480,194926,192926,191926,189852,187852
1500,194925,192925,191925,189850,187850
1520,194924,192924,191924,189848,187848
1540,194923,192923,191923,189846,187846
1560,194922,192922,191922,189844,187844
1580,194921,192921,191921,189842,187842
1600,194920,192920,191920,189840,187840
1620,194919,192919,191919,189838,187838
1640,194918,192918,191918,189836,187836
1660,194917,192917,191917,189834,187834
1680,194916,192916,191916,189832,187832
1700,194915,192915,191915,189830,187830
1720,194914,192914,191914,189828,187828
1740,194913,192913,191913,189826,187826
1760,194912,192912,191912,189824,187824
1780,194911,192911,191911,189822,187822
1800,194910,192910,191910,189820,187820
1820,194909,192909,191909,189818,187818
1840,194908,192908,191908,189816,187816
1860,194907,192907,191907,189814,187814
1880,194906,192906,191906,189812,187812
1900,194905,192905,191905,189810,187810
1920,194904,192904,191904,189808,187808
1940,194903,192903,191903,189806,187806
1960,194902,192902,191902,189804,187804
1980,194901,192901,191901,189802,187802
2000,194900,192900,191900,189800,187800
2020,194899,192899,191899,189798,187798
2040,194898,192898,191898,189796,187796
2060,194897,192897,191897,189794,187794
2080,194896,192896,191896,189792,187792
2100,194895,192895,191895,189790,187790
2120,194894,192894,191894,189788,187788
2140,194893,192893,191893,189786,187786
2160,194892,192892,191892,189784,187784
2180,194891,192891,191891,189782,187782
2200,194890,192890,191890,189780,187780
2220,194889,192889,191889,189778,187778
2240,194888,192888,191888,189776,187776
2260,194887,192887,191887,189774,187774
2280,194886,192886,191886,189772,187772
2300,194885,192885,191885,189770,187770
2320,194884,192884,191884,189768,187768
2340,194883,192883,191883,189766,187766
2360,194882,192882,191882,189764,187764
2380,194881,192881,191881,189762,187762
2400,194880,192880,191880,189760,187760
2420,194879,192879,191879,189758,187758
2440,194878,192878,191878,189756,187756
2460,194877,192877,191877,189754,187754
2480,194876,192876,191876,189752,187752
2500,194875,192875,191875,189750,187750
2520,194874,192874,191874,189748,187748
2540,194873,192873,191873,189746,187746
2560,194872,192872,191872,189744,187744
2580,194871,192871,191871,189742,187742
2600,194870,192870,191870,189740,187740
2620,194869,192869,191869,189738,187738
2640,194868,192868,191868,189736,187736
2660,194867,192867,191867,189734,187734
2680,194866,192866,191866,189732,187732
2700,194865,192865,191865,189730,187730
2720,194864,192864,191864,189728,187728
2740,194863,192863,191863,189726,187726
2760,194862,192862,191862,189724,187724
2780,194861,192861,191861,189722,187722
2800,194860,192860,191860,189720,187720
2820,194859,192859,191859,189718,187718
2840,194858,192858,191858,189716,187716
2860,194857,192857,191857,189714,187714
2880,194856,192856,191856,189712,187712
2900,194855,192855,191855,189710,187710
2920,194854,192854,191854,189708,187708
2940,194853,192853,191853,189706,187706
2960,194852,192852,191852,189704,187704
2980,194851,192851,191851,189702,187702
3000,194850,192850,191850,189700,187700
3020,194849,192849,191849,189698,187698
3040,194848,192848,191848,189696,187696
3060,194847,192847,191847,189694,187694
3080,194846,192846,191846,189692,187692
3100,194845,192845,191845,189690,187690
3120,194844,192844,191844,189688,187688
3140,194843,192843,191843,189686,187686
3160,194842,192842,191842,189684,187684
3180,194841,192841,191841,189682,187682
3200,194840,192840,191840,189680,187680
3220,194839,192839,191839,189678,187678
3240,194838,192838,191838,189676,187676
3260,194837,192837,191837,189674,187674
3280,194836,192836,191836,189672,187672
3300,194835,192835,191835,189670,187670
3320,194834,192834,191834,189668,187668
3340,194833,192833,191833,189666,187666
3360,194832,192832,191832,189664,187664
3380,194831,192831,191831,189662,187662
3400,194830,192830,191830,189660,187660
3420,194829,192829,191829,189658,187658
3440,194828,192828,191828,189656,187656
3460,194827,192827,191827,189654,187654
3480,194826,192826,191826,189652,187652
3500,194825,192825,191825,189650,187650
3520,194824,192824,191824,189648,187648
3540,194823,192823,191823,189646,187646
3560,194822,192822,191822,189644,187644
3580,194821,192821,191821,189642,187642
3600,194820,192820,191820,189640,187640
3620,194819,192819,191819,189638,187638
3640,194818,192818,191818,189636,187636
3660,194817,192817,191817,189634,187634
3680,194816,192816,191816,189632,187632
3700,194815,192815,191815,189630,187630
3720,194814,192814,191814,189628,187628
3740,194813,192813,191813,189626,187626
3760,194812,192812,191812,189624,187624
3780,194811,192811,191811,189622,187622
3800,194810,192810,191810,189620,187620
3820,194809,192809,191809,189618,187618
3840,194808,192808,191808,189616,187616
3860,194807,192807,191807,189614,187614
3880,194806,192806,191806,189612,187612
3900,194805,192805,191805,189610,187610
3920,194804,192804,191804,189608,187608
3940,194803,192803,191803,189606,187606
3960,194802,192802,191802,189604,187604
3980,194801,192801,191801,189602,187602
4000,194800,192800,191800,189600,187600
4020,194799,192799,191799,189598,187598
4040,194798,192798,191798,189596,187596
4060,194797,192797,191797,189594,187594
4080,194796,192796,191796,189592,187592
4100,194795,192795,191795,189590,187590
4120,194794,192794,191794,189588,187588
4140,194793,192793,191793,189586,187586
4160,194792,192792,191792,189584,187584
4180,194791,192791,191791,189582,187582
4200,194790,192790,191790,189580,187580
4220,194789,192789,191789,189578,187578
4240,194788,192788,191788,189576,187576
4260,194787,192787,191787,189574,187574
4280,194786,192786,191786,189572,187572
4300,194785,192785,191785,189570,187570
4320,194784,192784,191784,189568,187568
4340,194783,192783,191783,189566,187566
4360,194782,192782,191782,189564,187564
4380,194781,192781,191781,189562,187562
4400,194780,192780,191780,189560,187560
4420,194779,192779,191779,189558,187558
4440,194778,192778,191778,189556,187556
4460,194777,192777,191777,189554,187554
4480,194776,192776,191776,189552,187552
4500,194775,192775,191775,189550,187550
4520,194774,192774,191774,189548,187548
4540,194773,192773,191773,189546,187546
4560,194772,192772,191772,189544,187544
4580,194771,192771,191771,189542,187542
4600,194770,192770,191770,189540,187540
4620,194769,192769,191769,189538,187538
4640,194768,192768,191768,189536,187536
4660,194767,192767,191767,189534,187534
4680,194766,192766,191766,189532,187532
4700,194765,192765,191765,189530,187530
4720,194764,192764,191764,189528,187528
4740,194763,192763,191763,189526,187526
4760,194762,192762,191762,189524,187524
4780,194761,192761,191761,189522,187522
4800,194760,192760,191760,189520,187520
4820,194759,192759,191759,189518,187518
4840,194758,192758,191758,189516,187516
4860,194757,192757,191757,189514,187514
4880,194756,192756,191756,189512,187512
4900,194755,192755,191755,189510,187510
4920,194754,192754,191754,189508,187508
4940,194753,192753,191753,189506,187506
4960,194752,192752,191752,189504,187504
4980,194751,192751,191751,189502,187502
5000,194750,192750,191750,189500,187500
5020,194749,192749,191749,189498,187498
5040,194748,192748,191748,189496,187496
5060,194747,192747,191747,189494,187494
5080,194746,192746,191746,189492,187492
5100,194745,192745,191745,189490,187490
5120,194744,192744,191744,189488,187488
5140,194743,192743,191743,189486,187486
5160,194742,192742,191742,189484,187484
5180,194741,192741,191741,189482,187482
5200,194740,192740,191740,189480,187480
5220,194739,192739,191739,189478,187478
5240,194738,192738,191738,189476,187476
5260,194737,192737,191737,189474,187474
5280,194736,192736,191736,189472,187472
5300,194735,192735,191735,189470,187470
5320,194734,192734,191734,189468,187468
5340,194733,192733,191733,189466,187466
5360,194732,192732,191732,189464,187464
5380,194731,192731,191731,189462,187462
5400,194730,192730,191730,189460,187460
5420,194729,192729,191729,189458,187458
5440,194728,192728,191728,189456,187456
5460,194727,192727,191727,189454,187454
5480,194726,192726,191726,189452,187452
5500,194725,192725,191725,189450,187450
5520,194724,192724,191724,189448,187448
5540,194723,192723,191723,189446,187446
5560,194722,192722,191722,189444,187444
5580,194721,192721,191721,189442,187442
5600,194720,192720,191720,189440,187440
5620,194719,192719,191719,189438,187438
5640,194718,192718,191718,189436,187436
5660,194717,192717,191717,189434,187434
5680,194716,192716,191716,189432,187432
5700,194715,192715,191715,189430,187430
5720,194714,192714,191714,189428,187428
5740,194713,192713,191713,189426,187426
5760,194712,192712,191712,189424,187424
5780,194711,192711,191711,189422,187422
5800,194710,192710,191710,189420,187420
5820,194709,192709,191709,189418,187418
5840,194708,192708,191708,189416,187416
5860,194707,192707,191707,189414,187414
5880,194706,192706,191706,189412,187412
5900,194705,192705,191705,189410,187410
5920,194704,192704,191704,189408,187408
5940,194703,192703,191703,189406,187406
5960,194702,192702,191702,189404,187404
5980,194701,192701,191701,189402,187402
6000,194700,192700,191700,189400,187400
6020,194699,192699,191699,189398,187398
6040,194698,192698,191698,189396,187396
6060,194697,192697,191697,189394,187394
6080,194696,192696,191696,189392,187392
6100,194695,192695,191695,189390,187390
6120,194694,192694,191694,189388,187388
6140,194693,192693,191693,189386,187386
6160,194692,192692,191692,189384,187384
6180,194691,192691,191691,189382,187382
6200,194690,192690,191690,189380,187380
6220,194689,192689,191689,189378,187378
6240,194688,192688,191688,189376,187376
6260,194687,192687,191687,189374,187374
6280,194686,192686,191686,189372,187372
6300,194685,192685,191685,189370,187370
6320,194684,192684,191684,189368,187368
6340,194683,192683,191683,189366,187366
6360,194682,192682,191682,189364,187364
6380,194681,192681,191681,189362,187362
6400,194680,192680,191680,189360,187360
6420,194679,192679,191679,189358,187358
6440,194678,192678,191678,189356,187356
6460,194677,192677,191677,189354,187354
6480,194676,192676,191676,189352,187352
6500,194675,192675,191675,189350,187350
6520,194674,192674,191674,189348,187348
6540,194673,192673,191673,189346,187346
6560,194672,192672,191672,189344,187344
6580,194671,192671,191671,189342,187342
6600,194670,192670,191670,189340,187340
6620,194669,192669,191669,189338,187338
6640,194668,192668,191668,189336,187336
6660,194667,192667,191667,189334,187334
6680,194666,192666,191666,189332,187332
6700,194665,192665,191665,189330,187330
6720,194664,192664,191664,189328,187328
6740,194663,192663,191663,189326,187326
6760,194662,192662,191662,189324,187324
6780,194661,192661,191661,189322,187322
6800,194660,192660,191660,189320,187320
6820,194659,192659,191659,189318,187318
6840,194658,192658,191658,189316,187316
6860,194657,192657,191657,189314,187314
6880,194656,192656,191656,189312,187312
6900,194655,192655,191655,189310,187310
6920,194654,192654,191654,189308,187308
6940,194653,192653,191653,189306,187306
6960,194652,192652,191652,189304,187304
6980,194651,192651,191651,189302,187302
7000,194650,192650,191650,189300,187300
7020,194649,192649,191649,189298,187298
7040,194648,192648,191648,189296,187296
7060,194647,192647,191647,189294,187294
7080,194646,192646,191646,189292,187292
7100,194645,192645,191645,189290,187290
7120,194644,192644,191644,189288,187288
7140,194643,192643,191643,189286,187286
7160,194642,192642,191642,189284,187284
7180,194641,192641,191641,189282,187282
7200,194640,192640,191640,189280,187280
7220,194639,192639,191639,189278,187278
7240,194638,192638,191638,189276,187276
7260,194637,192637,191637,189274,187274
7280,194636,192636,191636,189272,187272
7300,194635,192635,191635,189270,187270
7320,194634,192634,191634,189268,187268
7340,194633,192633,191633,189266,187266
7360,194632,192632,191632,189264,187264
7380,194631,192631,191631,189262,187262
7400,194630,192630,191630,189260,187260
7420,194629,192629,191629,189258,187258
7440,194628,192628,191628,189256,187256
7460,194627,192627,191627,189254,187254
7480,194626,192626,191626,189252,187252
7500,194625,192625,191625,189250,187250
7520,194624,192624,191624,189248,187248
7540,194623,192623,191623,189246,187246
7560,194622,192622,191622,189244,187244
7580,194621,192621,191621,189242,187242
7600,194620,192620,191620,189240,187240
7620,194619,192619,191619,189238,187238
7640,194618,192618,191618,189236,187236
7660,194617,192617,191617,189234,187234
7680,194616,192616,191616,189232,187232
7700,194615,192615,191615,189230,187230
7720,194614,192614,191614,189228,187228
7740,194613,192613,191613,189226,187226
7760,194612,192612,191612,189224,187224
7780,194611,192611,191611,189222,187222
7800,194610,192610,191610,189220,187220
7820,194609,192609,191609,189218,187218
7840,194608,192608,191608,189216,187216
7860,194607,192607,191607,189214,187214
7880,194606,192606,191606,189212,187212
7900,194605,192605,191605,189210,187210
7920,194604,192604,191604,189208,187208
7940,194603,192603,191603,189206,187206
7960,194602,192602,191602,189204,187204
7980,194601,192601,191601,189202,187202
8000,194600,192600,191600,189200,187200
8020,194599,192599,191599,189198,187198
8040,194598,192598,191598,189196,187196
8060,194597,192597,191597,189194,187194
8080,194596,192596,191596,189192,187192
8100,194595,192595,191595,189190,187190
8120,194594,192594,191594,189188,187188
8140,194593,192593,191593,189186,187186
8160,194592,192592,191592,189184,187184
8180,194591,192591,191591,189182,187182
8200,194590,192590,191590,189180,187180
8220,194589,192589,191589,189178,187178
8240,194588,192588,191588,189176,187176
8260,194587,192587,191587,189174,187174
8280,194586,192586,191586,189172,187172
8300,194585,192585,191585,189170,187170
8320,194584,192584,191584,189168,187168
8340,194583,192583,191583,189166,187166
8360,194582,192582,191582,189164,187164
8380,194581,192581,191581,189162,187162
8400,194580,192580,191580,189160,187160
8420,194579,192579,191579,189158,187158
8440,194578,192578,191578,189156,187156
8460,194577,192577,191577,189154,187154
8480,194576,192576,191576,189152,187152
8500,194575,192575,191575,189150,187150
8520,194574,192574,191574,189148,187148
8540,194573,192573,191573,189146,187146
8560,194572,192572,191572,189144,187144
8580,194571,192571,191571,189142,187142
8600,194570,192570,191570,189140,187140
8620,194569,192569,191569,189138,187138
8640,194568,192568,191568,189136,187136
8660,194567,192567,191567,189134,187134
8680,194566,192566,191566,189132,187132
8700,194565,192565,191565,189130,187130
8720,194564,192564,191564,189128,187128
8740,194563,192563,191563,189126,187126
8760,194562,192562,191562,189124,187124
8780,194561,192561,191561,189122,187122
8800,194560,192560,191560,189120,187120
8820,194559,192559,191559,189118,187118
8840,194558,192558,191558,189116,187116
8860,194557,192557,191557,189114,187114
8880,194556,192556,191556,189112,187112
8900,194555,192555,191555,189110,187110
8920,194554,192554,191554,189108,187108
8940,194553,192553,191553,189106,187106
8960,194552,192552,191552,189104,187104
8980,194551,192551,191551,189102,187102
9000,194550,192550,191550,189100,187100
9020,194549,192549,191549,189098,187098
9040,194548,192548,191548,189096,187096
9060,194547,192547,191547,189094,187094
9080,194546,192546,191546,189092,187092
9100,194545,192545,191545,189090,187090
9120,194544,192544,191544,189088,187088
9140,194543,192543,191543,189086,187086
9160,194542,192542,191542,189084,187084
9180,194541,192541,191541,189082,187082
9200,194540,192540,191540,189080,187080
9220,194539,192539,191539,189078,187078
9240,194538,192538,191538,189076,187076
9260,194537,192537,191537,189074,187074
9280,194536,192536,191536,189072,187072
9300,194535,192535,191535,189070,187070
9320,194534,192534,191534,189068,187068
9340,194533,192533,191533,189066,187066
9360,194532,192532,191532,189064,187064
9380,194531,192531,191531,189062,187062
9400,194530,192530,191530,189060,187060
9420,194529,192529,191529,189058,187058
9440,194528,192528,191528,189056,187056
9460,194527,192527,191527,189054,187054
9480,194526,192526,191526,189052,187052
9500,194525,192525,191525,189050,187050
9520,194524,192524,191524,189048,187048
9540,194523,192523,191523,189046,187046
9560,194522,192522,191522,189044,187044
9580,194521,192521,191521,189042,187042
9600,194520,192520,191520,189040,187040
9620,194519,192519,191519,189038,187038
9640,194518,192518,191518,189036,187036
9660,194517,192517,191517,189034,187034
9680,194516,192516,191516,189032,187032
9700,194515,192515,191515,189030,187030
9720,194514,192514,191514,189028,187028
9740,194513,192513,191513,189026,187026
9760,194512,192512,191512,189024,187024
9780,194511,192511,191511,189022,187022
9800,194510,192510,191510,189020,187020
9820,194509,192509,191509,189018,187018
9840,194508,192508,191508,189016,187016
9860,194507,192507,191507,189014,187014
9880,194506,192506,191506,189012,187012
9900,194505,192505,191505,189010,187010
9920,194504,192504,191504,189008,187008
9940,194503,192503,191503,189006,187006
9960,194502,192502,191502,189004,187004
9980,194501,192501,191501,189002,187002
10000,194500,192500,191500,189000,187000
10020,194499,192499,191499,188998,186998
10040,194498,192498,191498,188996,186996
10060,194497,192497,191497,188994,186994
10080,194496,192496,191496,188992,186992
10100,194495,192495,191495,188990,186990
10120,194494,192494,191494,188988,186988
10140,194493,192493,191493,188986,186986
10160,194492,192492,191492,188984,186984
10180,194491,192491,191491,188982,186982
10200,194490,192490,191490,188980,186980
10220,194489,192489,191489,188978,186978
10240,194488,192488,191488,188976,186976
10260,194487,192487,191487,188974,186974
10280,194486,192486,191486,188972,186972
10300,194485,192485,191485,188970,186970
10320,194484,192484,191484,188968,186968
10340,194483,192483,191483,188966,186966
10360,194482,192482,191482,188964,186964
10380,194481,192481,191481,188962,186962
10400,194480,192480,191480,188960,186960
10420,194479,192479,191479,188958,186958
10440,194478,192478,191478,188956,186956
10460,194477,192477,191477,188954,186954
10480,194476,192476,191476,188952,186952
10500,194475,192475,191475,188950,186950
10520,194474,192474,191474,188948,186948
10540,194473,192473,191473,188946,186946
10560,194472,192472,191472,188944,186944
10580,194471,192471,191471,188942,186942
10600,194470,192470,191470,188940,186940
10620,194469,192469,191469,188938,186938
10640,194468,192468,191468,188936,186936
10660,194467,192467,191467,188934,186934
10680,194466,192466,191466,188932,186932
10700,194465,192465,191465,188930,186930
10720,194464,192464,191464,188928,186928
10740,194463,192463,191463,188926,186926
10760,194462,192462,191462,188924,186924
10780,194461,192461,191461,188922,186922
10800,194460,192460,191460,188920,186920
10820,194459,192459,191459,188918,186918
10840,194458,192458,191458,188916,186916
10860,194457,192457,191457,188914,186914
10880,194456,192456,191456,188912,186912
10900,194455,192455,191455,188910,186910
10920,194454,192454,191454,188908,186908
10940,194453,192453,191453,188906,186906
10960,194452,192452,191452,188904,186904
10980,194451,192451,191451,188902,186902
11000,194450,192450,191450,188900,186900
11020,194449,192449,191449,188898,186898
11040,194448,192448,191448,188896,186896
11060,194447,192447,191447,188894,186894
11080,194446,192446,191446,188892,186892
11100,194445,192445,191445,188890,186890
11120,194444,192444,191444,188888,186888
11140,194443,192443,191443,188886,186886
11160,194442,192442,191442,188884,186884
11180,194441,192441,191441,188882,186882
11200,194440,192440,191440,188880,186880
11220,194439,192439,191439,188878,186878
11240,194438,192438,191438,188876,186876
11260,194437,192437,191437,188874,186874
11280,194436,192436,191436,188872,186872
11300,194435,192435,191435,188870,186870
11320,194434,192434,191434,188868,186868
11340,194433,192433,191433,188866,186866
11360,194432,192432,191432,188864,186864
11380,194431,192431,191431,188862,186862
11400,194430,192430,191430,188860,186860
11420,194429,192429,191429,188858,186858
11440,194428,192428,191428,188856,186856
11460,194427,192427,191427,188854,186854
11480,194426,192426,191426,188852,186852
11500,194425,192425,191425,188850,186850
11520,194424,192424,191424,188848,186848
11540,194423,192423,191423,188846,186846
11560,194422,192422,191422,188844,186844
11580,194421,192421,191421,188842,186842
11600,194420,192420,191420,188840,186840
11620,194419,192419,191419,188838,186838
11640,194418,192418,191418,188836,186836
11660,194417,192417,191417,188834,186834
11680,194416,192416,191416,188832,186832
11700,194415,192415,191415,188830,186830
11720,194414,192414,191414,188828,186828
11740,194413,192413,191413,188826,186826
11760,194412,192412,191412,188824,186824
11780,194411,192411,191411,188822,186822
11800,194410,192410,191410,188820,186820
11820,194409,192409,191409,188818,186818
11840,194408,192408,191408,188816,186816
11860,194407,192407,191407,188814,186814
11880,194406,192406,191406,188812,186812
11900,194405,192405,191405,188810,186810
11920,194404,192404,191404,188808,186808
11940,194403,192403,191403,188806,186806
11960,194402,192402,191402,188804,186804
11980,194401,192401,191401,188802,186802
12000,194400,192400,191400,188800,186800
12020,194399,192399,191399,188798,186798
12040,194398,192398,191398,188796,186796
12060,194397,192397,191397,188794,186794
12080,194396,192396,191396,188792,186792
12100,194395,192395,191395,188790,186790
12120,194394,192394,191394,188788,186788
12140,194393,192393,191393,188786,186786
12160,194392,192392,191392,188784,186784
12180,194391,192391,191391,188782,186782
12200,194390,192390,191390,188780,186780
12220,194389,192389,191389,188778,186778
12240,194388,192388,191388,188776,186776
12260,194387,192387,191387,188774,186774
12280,194386,192386,191386,188772,186772
12300,194385,192385,191385,188770,186770
12320,194384,192384,191384,188768,186768
12340,194383,192383,191383,188766,186766
12360,194382,192382,191382,188764,186764
12380,194381,192381,191381,188762,186762
12400,194380,192380,191380,188760,186760
12420,194379,192379,191379,188758,186758
12440,194378,192378,191378,188756,186756
12460,194377,192377,191377,188754,186754
12480,194376,192376,191376,188752,186752
12500,194375,192375,191375,188750,186750
12520,194374,192374,191374,188748,186748
12540,194373,192373,191373,188746,186746
12560,194372,192372,191372,188744,186744
12580,194371,192371,191371,188742,186742
12600,194370,192370,191370,188740,186740
12620,194369,192369,191369,188738,186738
12640,194368,192368,191368,188736,186736
12660,194367,192367,191367,188734,186734
12680,194366,192366,191366,188732,186732
12700,194365,192365,191365,188730,186730
12720,194364,192364,191364,188728,186728
12740,194363,192363,191363,188726,186726
12760,194362,192362,191362,188724,186724
12780,194361,192361,191361,188722,186722
12800,194360,192360,191360,188720,186720
12820,194359,192359,191359,188718,186718
12840,194358,192358,191358,188716,186716
12860,194357,192357,191357,188714,186714
12880,194356,192356,191356,188712,186712
12900,194355,192355,191355,188710,186710
12920,194354,192354,191354,188708,186708
12940,194353,192353,191353,188706,186706
12960,194352,192352,191352,188704,186704
12980,194351,192351,191351,188702,186702
13000,194350,192350,191350,188700,186700
13020,194349,192349,191349,188698,186698
13040,194348,192348,191348,188696,186696
13060,194347,192347,191347,188694,186694
13080,194346,192346,191346,188692,186692
13100,194345,192345,191345,188690,186690
13120,194344,192344,191344,188688,186688
13140,194343,192343,191343,188686,186686
13160,194342,192342,191342,188684,186684
13180,194341,192341,191341,188682,186682
13200,194340,192340,191340,188680,186680
13220,194339,192339,191339,188678,186678
13240,194338,192338,191338,188676,186676
13260,194337,192337,191337,188674,186674
13280,194336,192336,191336,188672,186672
13300,194335,192335,191335,188670,186670
13320,194334,192334,191334,188668,186668
13340,194333,192333,191333,188666,186666
13360,194332,192332,191332,188664,186664
13380,194331,192331,191331,188662,186662
13400,194330,192330,191330,188660,186660
13420,194329,192329,191329,188658,186658
13440,194328,192328,191328,188656,186656
13460,194327,192327,191327,188654,186654
13480,194326,192326,191326,188652,186652
13500,194325,192325,191325,188650,186650
13520,194324,192324,191324,188648,186648
13540,194323,192323,191323,188646,186646
13560,194322,192322,191322,188644,186644
13580,194321,192321,191321,188642,186642
13600,194320,192320,191320,188640,186640
13620,194319,192319,191319,188638,186638
13640,194318,192318,191318,188636,186636
13660,194317,192317,191317,188634,186634
13680,194316,192316,191316,188632,186632
13700,194315,192315,191315,188630,186630
13720,194314,192314,191314,188628,186628
13740,194313,192313,191313,188626,186626
13760,194312,192312,191312,188624,186624
13780,194311,192311,191311,188622,186622
13800,194310,192310,191310,188620,186620
13820,194309,192309,191309,188618,186618
13840,194308,192308,191308,188616,186616
13860,194307,192307,191307,188614,186614
13880,194306,192306,191306,188612,186612
13900,194305,192305,191305,188610,186610
13920,194304,192304,191304,188608,186608
13940,194303,192303,191303,188606,186606
13960,194302,192302,191302,188604,186604
13980,194301,192301,191301,188602,186602
14000,194300,192300,191300,188600,186600
14020,194299,192299,191299,188598,186598
14040,194298,192298,191298,188596,186596
14060,194297,192297,191297,188594,186594
14080,194296,192296,191296,188592,186592
14100,194295,192295,191295,188590,186590
14120,194294,192294,191294,188588,186588
14140,194293,192293,191293,188586,186586
14160,194292,192292,191292,188584,186584
14180,194291,192291,191291,188582,186582
14200,194290,192290,191290,188580,186580
14220,194289,192289,191289,188578,186578
14240,194288,192288,191288,188576,186576
14260,194287,192287,191287,188574,186574
14280,194286,192286,191286,188572,186572
14300,194285,192285,191285,188570,186570
14320,194284,192284,191284,188568,186568
14340,194283,192283,191283,188566,186566
14360,194282,192282,191282,188564,186564
14380,194281,192281,191281,188562,186562
14400,194280,192280,191280,188560,186560
14420,194279,192279,191279,188558,186558
14440,194278,192278,191278,188556,186556
14460,194277,192277,191277,188554,186554
14480,194276,192276,191276,188552,186552
14500,194275,192275,191275,188550,186550
14520,194274,192274,191274,188548,186548
14540,194273,192273,191273,188546,186546
14560,194272,192272,191272,188544,186544
14580,194271,192271,191271,188542,186542
14600,194270,192270,191270,188540,186540
14620,194269,192269,191269,188538,186538
14640,194268,192268,191268,188536,186536
14660,194267,192267,191267,188534,186534
14680,194266,192266,191266,188532,186532
14700,194265,192265,191265,188530,186530
14720,194264,192264,191264,188528,186528
14740,194263,192263,191263,188526,186526
14760,194262,192262,191262,188524,186524
14780,194261,192261,191261,188522,186522
14800,194260,192260,191260,188520,186520
14820,194259,192259,191259,188518,186518
14840,194258,192258,191258,188516,186516
14860,194257,192257,191257,188514,186514
14880,194256,192256,191256,188512,186512
14900,194255,192255,191255,188510,186510
14920,194254,192254,191254,188508,186508
14940,194253,192253,191253,188506,186506
14960,194252,192252,191252,188504,186504
14980,194251,192251,191251,188502,186502
15000,194250,192250,191250,188500,186500
15020,194249,192249,191249,188498,186498
15040,194248,192248,191248,188496,186496
15060,194247,192247,191247,188494,186494
15080,194246,192246,191246,188492,186492
15100,194245,192245,191245,188490,186490
15120,194244,192244,191244,188488,186488
15140,194243,192243,191243,188486,186486
15160,194242,192242,191242,188484,186484
15180,194241,192241,191241,188482,186482
15200,194240,192240,191240,188480,186480
15220,194239,192239,191239,188478,186478
15240,194238,192238,191238,188476,186476
15260,194237,192237,191237,188474,186474
15280,194236,192236,191236,188472,186472
15300,194235,192235,191235,188470,186470
15320,194234,192234,191234,188468,186468
15340,194233,192233,191233,188466,186466
15360,194232,192232,191232,188464,186464
15380,194231,192231,191231,188462,186462
15400,194230,192230,191230,188460,186460
15420,194229,192229,191229,188458,186458
15440,194228,192228,191228,188456,186456
15460,194227,192227,191227,188454,186454
15480,194226,192226,191226,188452,186452
15500,194225,192225,191225,188450,186450
15520,194224,192224,191224,188448,186448
